12:11 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:21 a. m. --- humedad: 5.333333 , humedad Relativa: 15.66667 , Temperatura: 8.666667 , luminosidad: 54.72
12:21 a. m. --- humedad: 3 , humedad Relativa: 13 , Temperatura: 13.33333 , luminosidad: 51.84
12:21 a. m. --- humedad: 3 , humedad Relativa: 13 , Temperatura: 13.33333 , luminosidad: 51.84
12:21 a. m. --- humedad: 6.666667 , humedad Relativa: 11 , Temperatura: 9.333333 , luminosidad: 25.92
12:21 a. m. --- humedad: 6.666667 , humedad Relativa: 11 , Temperatura: 9.333333 , luminosidad: 25.92
12:21 a. m. --- humedad: 6.666667 , humedad Relativa: 11 , Temperatura: 9.333333 , luminosidad: 45.36
12:22 a. m. --- humedad: 10 , humedad Relativa: 8 , Temperatura: 10 , luminosidad: 45.36
12:22 a. m. --- humedad: 10 , humedad Relativa: 8 , Temperatura: 10 , luminosidad: 45.36
12:22 a. m. --- humedad: 7.333333 , humedad Relativa: 6.333333 , Temperatura: 8.333333 , luminosidad: 24.48
12:22 a. m. --- humedad: 7.333333 , humedad Relativa: 6.333333 , Temperatura: 8.333333 , luminosidad: 24.48
12:22 a. m. --- humedad: 7.333333 , humedad Relativa: 6.333333 , Temperatura: 8.333333 , luminosidad: 39.6
12:22 a. m. --- humedad: 8.333333 , humedad Relativa: 9.333333 , Temperatura: 17.66667 , luminosidad: 39.6
12:22 a. m. --- humedad: 8.333333 , humedad Relativa: 9.333333 , Temperatura: 17.66667 , luminosidad: 39.6
12:22 a. m. --- humedad: 11.66667 , humedad Relativa: 8 , Temperatura: 11.33333 , luminosidad: 24.48
12:22 a. m. --- humedad: 11.66667 , humedad Relativa: 8 , Temperatura: 11.33333 , luminosidad: 24.48
12:22 a. m. --- humedad: 11.66667 , humedad Relativa: 8 , Temperatura: 11.33333 , luminosidad: 29.52
12:22 a. m. --- humedad: 5.333333 , humedad Relativa: 5.666667 , Temperatura: 15 , luminosidad: 29.52
12:22 a. m. --- humedad: 5.333333 , humedad Relativa: 5.666667 , Temperatura: 15 , luminosidad: 29.52
12:22 a. m. --- humedad: 10.33333 , humedad Relativa: 11.33333 , Temperatura: 12 , luminosidad: 34.56
12:22 a. m. --- humedad: 10.33333 , humedad Relativa: 11.33333 , Temperatura: 12 , luminosidad: 34.56
12:22 a. m. --- humedad: 10.33333 , humedad Relativa: 11.33333 , Temperatura: 12 , luminosidad: 56.16
12:22 a. m. --- humedad: 7.333333 , humedad Relativa: 9.333333 , Temperatura: 10.33333 , luminosidad: 56.16
12:22 a. m. --- humedad: 7.333333 , humedad Relativa: 9.333333 , Temperatura: 10.33333 , luminosidad: 56.16
12:22 a. m. --- humedad: 9 , humedad Relativa: 8 , Temperatura: 8 , luminosidad: 19.44
12:22 a. m. --- humedad: 9 , humedad Relativa: 8 , Temperatura: 8 , luminosidad: 19.44
12:22 a. m. --- humedad: 9 , humedad Relativa: 8 , Temperatura: 8 , luminosidad: 49.68
12:22 a. m. --- humedad: 9.333333 , humedad Relativa: 13.33333 , Temperatura: 11.33333 , luminosidad: 49.68
12:22 a. m. --- humedad: 9.333333 , humedad Relativa: 13.33333 , Temperatura: 11.33333 , luminosidad: 49.68
12:22 a. m. --- humedad: 12.66667 , humedad Relativa: 4.333333 , Temperatura: 11.66667 , luminosidad: 13.68
12:22 a. m. --- humedad: 12.66667 , humedad Relativa: 4.333333 , Temperatura: 11.66667 , luminosidad: 13.68
12:22 a. m. --- humedad: 12.66667 , humedad Relativa: 4.333333 , Temperatura: 11.66667 , luminosidad: 41.76
12:22 a. m. --- humedad: 12.66667 , humedad Relativa: 4.333333 , Temperatura: 11.66667 , luminosidad: 41.76
12:22 a. m. --- humedad: 8.333333 , humedad Relativa: 9.666667 , Temperatura: 11.33333 , luminosidad: 41.76
12:22 a. m. --- humedad: 8.333333 , humedad Relativa: 9.666667 , Temperatura: 11.33333 , luminosidad: 30.24
12:22 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 6.333333 , luminosidad: 30.24
12:23 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 6.333333 , luminosidad: 41.04
12:23 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 6.333333 , luminosidad: 41.04
12:23 a. m. --- humedad: 7 , humedad Relativa: 2 , Temperatura: 7 , luminosidad: 35.28
12:23 a. m. --- humedad: 7 , humedad Relativa: 2 , Temperatura: 7 , luminosidad: 35.28
12:23 a. m. --- humedad: 7 , humedad Relativa: 8.666667 , Temperatura: 12.33333 , luminosidad: 35.28
12:23 a. m. --- humedad: 7 , humedad Relativa: 8.666667 , Temperatura: 12.33333 , luminosidad: 38.16
12:23 a. m. --- humedad: 7 , humedad Relativa: 8.666667 , Temperatura: 12.33333 , luminosidad: 38.16
12:23 a. m. --- humedad: 9.333333 , humedad Relativa: 11.33333 , Temperatura: 8.333333 , luminosidad: 19.44
12:23 a. m. --- humedad: 9.333333 , humedad Relativa: 11.33333 , Temperatura: 8.333333 , luminosidad: 19.44
12:23 a. m. --- humedad: 13 , humedad Relativa: 10.33333 , Temperatura: 11 , luminosidad: 19.44
12:23 a. m. --- humedad: 13 , humedad Relativa: 10.33333 , Temperatura: 11 , luminosidad: 30.24
12:23 a. m. --- humedad: 13 , humedad Relativa: 10.33333 , Temperatura: 11 , luminosidad: 30.24
12:23 a. m. --- humedad: 11.33333 , humedad Relativa: 6.333333 , Temperatura: 7.333333 , luminosidad: 27.36
12:23 a. m. --- humedad: 11.33333 , humedad Relativa: 6.333333 , Temperatura: 7.333333 , luminosidad: 27.36
12:23 a. m. --- humedad: 3.333333 , humedad Relativa: 11.66667 , Temperatura: 7.666667 , luminosidad: 27.36
12:23 a. m. --- humedad: 3.333333 , humedad Relativa: 11.66667 , Temperatura: 7.666667 , luminosidad: 38.16
12:23 a. m. --- humedad: 7.333333 , humedad Relativa: 12.66667 , Temperatura: 12.33333 , luminosidad: 38.16
12:23 a. m. --- humedad: 7.333333 , humedad Relativa: 12.66667 , Temperatura: 12.33333 , luminosidad: 45.36
12:23 a. m. --- humedad: 7.333333 , humedad Relativa: 12.66667 , Temperatura: 12.33333 , luminosidad: 45.36
12:23 a. m. --- humedad: 3 , humedad Relativa: 5.666667 , Temperatura: 3 , luminosidad: 45.36
12:23 a. m. --- humedad: 3 , humedad Relativa: 5.666667 , Temperatura: 3 , luminosidad: 43.92
12:23 a. m. --- humedad: 5.333333 , humedad Relativa: 6 , Temperatura: 5.666667 , luminosidad: 43.92
12:23 a. m. --- humedad: 5.333333 , humedad Relativa: 6 , Temperatura: 5.666667 , luminosidad: 39.6
12:23 a. m. --- humedad: 5.333333 , humedad Relativa: 6 , Temperatura: 5.666667 , luminosidad: 39.6
12:23 a. m. --- humedad: 8.333333 , humedad Relativa: 7.666667 , Temperatura: 3.666667 , luminosidad: 39.6
12:23 a. m. --- humedad: 8.333333 , humedad Relativa: 7.666667 , Temperatura: 3.666667 , luminosidad: 23.76
12:23 a. m. --- humedad: 8 , humedad Relativa: 15.33333 , Temperatura: 16 , luminosidad: 23.76
12:23 a. m. --- humedad: 8 , humedad Relativa: 15.33333 , Temperatura: 16 , luminosidad: 43.92
12:23 a. m. --- humedad: 8 , humedad Relativa: 15.33333 , Temperatura: 16 , luminosidad: 43.92
12:23 a. m. --- humedad: 7.333333 , humedad Relativa: 6.666667 , Temperatura: 12 , luminosidad: 43.92
12:24 a. m. --- humedad: 7.333333 , humedad Relativa: 6.666667 , Temperatura: 12 , luminosidad: 42.48
12:24 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 7.666667 , luminosidad: 42.48
12:24 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 7.666667 , luminosidad: 36.72
12:24 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 7.666667 , luminosidad: 36.72
12:24 a. m. --- humedad: 8.333333 , humedad Relativa: 9.666667 , Temperatura: 9.333333 , luminosidad: 44.64
12:24 a. m. --- humedad: 8.333333 , humedad Relativa: 9.666667 , Temperatura: 9.333333 , luminosidad: 44.64
12:24 a. m. --- humedad: 4.666667 , humedad Relativa: 7 , Temperatura: 4 , luminosidad: 44.64
12:24 a. m. --- humedad: 4.666667 , humedad Relativa: 7 , Temperatura: 4 , luminosidad: 30.24
12:24 a. m. --- humedad: 4.666667 , humedad Relativa: 7 , Temperatura: 4 , luminosidad: 30.24
12:24 a. m. --- humedad: 13 , humedad Relativa: 8.666667 , Temperatura: 12.66667 , luminosidad: 59.76
12:24 a. m. --- humedad: 13 , humedad Relativa: 8.666667 , Temperatura: 12.66667 , luminosidad: 59.76
12:24 a. m. --- humedad: 3 , humedad Relativa: 9 , Temperatura: 6.666667 , luminosidad: 59.76
12:24 a. m. --- humedad: 3 , humedad Relativa: 9 , Temperatura: 6.666667 , luminosidad: 21.6
12:24 a. m. --- humedad: 3 , humedad Relativa: 9 , Temperatura: 6.666667 , luminosidad: 21.6
12:24 a. m. --- humedad: 15 , humedad Relativa: 12 , Temperatura: 4.333333 , luminosidad: 21.6
12:24 a. m. --- humedad: 15 , humedad Relativa: 12 , Temperatura: 4.333333 , luminosidad: 21.6
12:25 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:25 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:25 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:25 a. m. --- humedad: 15.33333 , humedad Relativa: 8 , Temperatura: 9 , luminosidad: 38.88
12:25 a. m. --- humedad: 15.33333 , humedad Relativa: 8 , Temperatura: 9 , luminosidad: 38.88
12:25 a. m. --- humedad: 12 , humedad Relativa: 13.66667 , Temperatura: 17.33333 , luminosidad: 46.08
12:25 a. m. --- humedad: 12 , humedad Relativa: 13.66667 , Temperatura: 17.33333 , luminosidad: 46.08
12:25 a. m. --- humedad: 12 , humedad Relativa: 13.66667 , Temperatura: 17.33333 , luminosidad: 46.08
12:25 a. m. --- humedad: 14 , humedad Relativa: 11.66667 , Temperatura: 11.33333 , luminosidad: 25.92
12:25 a. m. --- humedad: 14 , humedad Relativa: 11.66667 , Temperatura: 11.33333 , luminosidad: 25.92
12:26 a. m. --- humedad: 16.33333 , humedad Relativa: 13.33333 , Temperatura: 12.66667 , luminosidad: 26.64
12:26 a. m. --- humedad: 16.33333 , humedad Relativa: 13.33333 , Temperatura: 12.66667 , luminosidad: 26.64
12:26 a. m. --- humedad: 16.33333 , humedad Relativa: 13.33333 , Temperatura: 12.66667 , luminosidad: 26.64
12:26 a. m. --- humedad: 13 , humedad Relativa: 4.333333 , Temperatura: 4.666667 , luminosidad: 38.88
12:26 a. m. --- humedad: 13 , humedad Relativa: 4.333333 , Temperatura: 4.666667 , luminosidad: 38.88
12:26 a. m. --- humedad: 6.333333 , humedad Relativa: 8 , Temperatura: 10 , luminosidad: 40.32
12:26 a. m. --- humedad: 6.333333 , humedad Relativa: 8 , Temperatura: 10 , luminosidad: 40.32
12:26 a. m. --- humedad: 6.333333 , humedad Relativa: 8 , Temperatura: 10 , luminosidad: 40.32
12:26 a. m. --- humedad: 6.333333 , humedad Relativa: 12.33333 , Temperatura: 10.33333 , luminosidad: 41.04
12:26 a. m. --- humedad: 6.333333 , humedad Relativa: 12.33333 , Temperatura: 10.33333 , luminosidad: 41.04
12:26 a. m. --- humedad: 9 , humedad Relativa: 12.33333 , Temperatura: 4.666667 , luminosidad: 38.88
12:26 a. m. --- humedad: 9 , humedad Relativa: 12.33333 , Temperatura: 4.666667 , luminosidad: 38.88
12:26 a. m. --- humedad: 9 , humedad Relativa: 12.33333 , Temperatura: 4.666667 , luminosidad: 38.88
12:26 a. m. --- humedad: 11 , humedad Relativa: 13.66667 , Temperatura: 8 , luminosidad: 19.44
12:26 a. m. --- humedad: 11 , humedad Relativa: 13.66667 , Temperatura: 8 , luminosidad: 19.44
12:26 a. m. --- humedad: 7 , humedad Relativa: 13 , Temperatura: 12.33333 , luminosidad: 45.36
12:26 a. m. --- humedad: 7 , humedad Relativa: 13 , Temperatura: 12.33333 , luminosidad: 45.36
12:26 a. m. --- humedad: 7 , humedad Relativa: 13 , Temperatura: 12.33333 , luminosidad: 45.36
12:26 a. m. --- humedad: 7.333333 , humedad Relativa: 9 , Temperatura: 16.33333 , luminosidad: 30.96
12:26 a. m. --- humedad: 7.333333 , humedad Relativa: 9 , Temperatura: 16.33333 , luminosidad: 30.96
12:26 a. m. --- humedad: 8.333333 , humedad Relativa: 11 , Temperatura: 11.66667 , luminosidad: 46.8
12:26 a. m. --- humedad: 8.333333 , humedad Relativa: 11 , Temperatura: 11.66667 , luminosidad: 46.8
12:26 a. m. --- humedad: 8.333333 , humedad Relativa: 11 , Temperatura: 11.66667 , luminosidad: 31.68
12:26 a. m. --- humedad: 7.333333 , humedad Relativa: 7 , Temperatura: 6.333333 , luminosidad: 31.68
12:26 a. m. --- humedad: 7.333333 , humedad Relativa: 7 , Temperatura: 6.333333 , luminosidad: 31.68
12:26 a. m. --- humedad: 8 , humedad Relativa: 13.66667 , Temperatura: 9 , luminosidad: 37.44
12:26 a. m. --- humedad: 8 , humedad Relativa: 13.66667 , Temperatura: 9 , luminosidad: 37.44
12:26 a. m. --- humedad: 8 , humedad Relativa: 13.66667 , Temperatura: 9 , luminosidad: 26.64
12:26 a. m. --- humedad: 8.333333 , humedad Relativa: 9.333333 , Temperatura: 14.33333 , luminosidad: 26.64
12:27 a. m. --- humedad: 8.333333 , humedad Relativa: 9.333333 , Temperatura: 14.33333 , luminosidad: 26.64
12:27 a. m. --- humedad: 8.333333 , humedad Relativa: 10.33333 , Temperatura: 10 , luminosidad: 33.84
12:27 a. m. --- humedad: 8.333333 , humedad Relativa: 10.33333 , Temperatura: 10 , luminosidad: 33.84
12:27 a. m. --- humedad: 8.333333 , humedad Relativa: 10.33333 , Temperatura: 10 , luminosidad: 12.96
12:27 a. m. --- humedad: 12.66667 , humedad Relativa: 9.333333 , Temperatura: 8.666667 , luminosidad: 12.96
12:27 a. m. --- humedad: 12.66667 , humedad Relativa: 9.333333 , Temperatura: 8.666667 , luminosidad: 12.96
12:27 a. m. --- humedad: 5.333333 , humedad Relativa: 8.666667 , Temperatura: 12.66667 , luminosidad: 29.52
12:27 a. m. --- humedad: 5.333333 , humedad Relativa: 8.666667 , Temperatura: 12.66667 , luminosidad: 29.52
12:27 a. m. --- humedad: 4.666667 , humedad Relativa: 11 , Temperatura: 8.666667 , luminosidad: 18
12:27 a. m. --- humedad: 4.666667 , humedad Relativa: 11 , Temperatura: 8.666667 , luminosidad: 18
12:27 a. m. --- humedad: 4.666667 , humedad Relativa: 11 , Temperatura: 8.666667 , luminosidad: 18
12:27 a. m. --- humedad: 13 , humedad Relativa: 6.333333 , Temperatura: 10 , luminosidad: 28.8
12:27 a. m. --- humedad: 13 , humedad Relativa: 6.333333 , Temperatura: 10 , luminosidad: 28.8
12:27 a. m. --- humedad: 5.333333 , humedad Relativa: 12 , Temperatura: 4.333333 , luminosidad: 19.44
12:27 a. m. --- humedad: 5.333333 , humedad Relativa: 12 , Temperatura: 4.333333 , luminosidad: 19.44
12:27 a. m. --- humedad: 5.333333 , humedad Relativa: 12 , Temperatura: 4.333333 , luminosidad: 19.44
12:40 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:40 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:40 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:40 a. m. --- humedad: 8.333333 , humedad Relativa: 10.66667 , Temperatura: 3.666667 , luminosidad: 35.28
12:40 a. m. --- humedad: 8.333333 , humedad Relativa: 10.66667 , Temperatura: 3.666667 , luminosidad: 35.28
12:41 a. m. --- humedad: 9 , humedad Relativa: 5.666667 , Temperatura: 12 , luminosidad: 30.96
12:43 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:43 a. m. --- humedad: 11.33333 , humedad Relativa: 8.333333 , Temperatura: 6.666667 , luminosidad: 0
12:43 a. m. --- humedad: 11.33333 , humedad Relativa: 8.333333 , Temperatura: 6.666667 , luminosidad: 0
12:43 a. m. --- humedad: 5 , humedad Relativa: 9 , Temperatura: 2.666667 , luminosidad: 29.52
12:43 a. m. --- humedad: 5 , humedad Relativa: 9 , Temperatura: 2.666667 , luminosidad: 29.52
12:43 a. m. --- humedad: 7 , humedad Relativa: 4.666667 , Temperatura: 13 , luminosidad: 23.04
12:43 a. m. --- humedad: 7 , humedad Relativa: 4.666667 , Temperatura: 13 , luminosidad: 23.04
12:43 a. m. --- humedad: 7 , humedad Relativa: 4.666667 , Temperatura: 13 , luminosidad: 23.04
12:43 a. m. --- humedad: 10.66667 , humedad Relativa: 16.33333 , Temperatura: 6 , luminosidad: 21.6
12:43 a. m. --- humedad: 10.66667 , humedad Relativa: 16.33333 , Temperatura: 6 , luminosidad: 21.6
12:43 a. m. --- humedad: 3.666667 , humedad Relativa: 13 , Temperatura: 11 , luminosidad: 43.92
12:43 a. m. --- humedad: 3.666667 , humedad Relativa: 13 , Temperatura: 11 , luminosidad: 43.92
12:43 a. m. --- humedad: 3.666667 , humedad Relativa: 13 , Temperatura: 11 , luminosidad: 43.92
12:43 a. m. --- humedad: 11.66667 , humedad Relativa: 11 , Temperatura: 14 , luminosidad: 39.6
12:43 a. m. --- humedad: 11.66667 , humedad Relativa: 11 , Temperatura: 14 , luminosidad: 39.6
12:43 a. m. --- humedad: 8 , humedad Relativa: 14 , Temperatura: 6.666667 , luminosidad: 41.76
12:43 a. m. --- humedad: 8 , humedad Relativa: 14 , Temperatura: 6.666667 , luminosidad: 41.76
12:43 a. m. --- humedad: 8 , humedad Relativa: 14 , Temperatura: 6.666667 , luminosidad: 41.76
12:43 a. m. --- humedad: 10.66667 , humedad Relativa: 10.66667 , Temperatura: 8.666667 , luminosidad: 20.88
12:43 a. m. --- humedad: 10.66667 , humedad Relativa: 10.66667 , Temperatura: 8.666667 , luminosidad: 20.88
12:43 a. m. --- humedad: 15.33333 , humedad Relativa: 11.33333 , Temperatura: 9.333333 , luminosidad: 35.28
12:43 a. m. --- humedad: 15.33333 , humedad Relativa: 11.33333 , Temperatura: 9.333333 , luminosidad: 35.28
12:43 a. m. --- humedad: 15.33333 , humedad Relativa: 11.33333 , Temperatura: 9.333333 , luminosidad: 35.28
12:43 a. m. --- humedad: 8.333333 , humedad Relativa: 6.666667 , Temperatura: 10 , luminosidad: 31.68
12:43 a. m. --- humedad: 8.333333 , humedad Relativa: 6.666667 , Temperatura: 10 , luminosidad: 31.68
12:43 a. m. --- humedad: 5.333333 , humedad Relativa: 11 , Temperatura: 7.666667 , luminosidad: 23.04
12:43 a. m. --- humedad: 5.333333 , humedad Relativa: 11 , Temperatura: 7.666667 , luminosidad: 23.04
12:43 a. m. --- humedad: 5.333333 , humedad Relativa: 11 , Temperatura: 7.666667 , luminosidad: 22.32
12:43 a. m. --- humedad: 15.66667 , humedad Relativa: 4.333333 , Temperatura: 12 , luminosidad: 22.32
12:44 a. m. --- humedad: 15.66667 , humedad Relativa: 4.333333 , Temperatura: 12 , luminosidad: 22.32
12:44 a. m. --- humedad: 8.333333 , humedad Relativa: 7.333333 , Temperatura: 7.666667 , luminosidad: 30.24
12:44 a. m. --- humedad: 8.333333 , humedad Relativa: 7.333333 , Temperatura: 7.666667 , luminosidad: 30.24
12:44 a. m. --- humedad: 8.333333 , humedad Relativa: 7.333333 , Temperatura: 7.666667 , luminosidad: 20.88
12:44 a. m. --- humedad: 15 , humedad Relativa: 11.33333 , Temperatura: 11.66667 , luminosidad: 20.88
